#NAME	year	sample_dna	soil_type	sampling_site	season	soil_depth	soil_depth_num	sampling_site_depth	soil_depth_two	rhizosphere	rhizosphere_type	rhizosphere_type_seasons
2020-307	2020	307	Chern_taiga	N1	Spring	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2020-308	2020	308	Chern_taiga	N1	Spring	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2020-309	2020	309	Chern_taiga	N1	Spring	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2020-310	2020	310	Chern_taiga	N1	Spring	0-10	10	N1-top	top	soil	N1_soil	N1_soil
2020-341	2020	341	Control	N2	Spring	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2020-342	2020	342	Control	N2	Spring	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2020-343	2020	343	Control	N2	Spring	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2020-344	2020	344	Control	N2	Spring	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2020-345	2020	345	Control	N2	Spring	0-10	10	N2-top	top	soil	N2_soil	N2_soil
2020-371	2020	371	Chern_taiga	T1	Spring	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2020-372	2020	372	Chern_taiga	T1	Spring	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2020-373	2020	373	Chern_taiga	T1	Spring	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2020-374	2020	374	Chern_taiga	T1	Spring	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2020-375	2020	375	Chern_taiga	T1	Spring	0-10	10	T1-top	top	soil	T1_soil	T1_soil
2020-411	2020	411	Control	T3	Spring	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2020-412	2020	412	Control	T3	Spring	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2020-413	2020	413	Control	T3	Spring	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2020-414	2020	414	Control	T3	Spring	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2020-415	2020	415	Control	T3	Spring	0-10	10	T3-top	top	soil	T3_soil	T3_soil
2019-036	2019	36	Chern_taiga	N1	Summer	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-037	2019	37	Chern_taiga	N1	Summer	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-038	2019	38	Chern_taiga	N1	Summer	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-039	2019	39	Chern_taiga	N1	Summer	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-040	2019	40	Chern_taiga	N1	Summer	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-096	2019	96	Control	T1	Summer	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2019-097	2019	97	Control	T1	Summer	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2019-098	2019	98	Control	T1	Summer	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2019-099	2019	99	Control	T1	Summer	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2019-100	2019	100	Control	T1	Summer	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2019-111	2019	111	Chern_taiga	T3	Summer	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2019-112	2019	112	Chern_taiga	T3	Summer	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2019-113	2019	113	Chern_taiga	T3	Summer	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2019-114	2019	114	Chern_taiga	T3	Summer	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2019-115	2019	115	Chern_taiga	T3	Summer	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2019-156	2019	156	Chern_taiga	N1	Fall	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-157	2019	157	Chern_taiga	N1	Fall	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-158	2019	158	Chern_taiga	N1	Fall	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-159	2019	159	Chern_taiga	N1	Fall	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-160	2019	160	Chern_taiga	N1	Fall	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2019-191	2019	191	Control	N2	Fall	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2019-192	2019	192	Control	N2	Fall	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2019-193	2019	193	Control	N2	Fall	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2019-194	2019	194	Control	N2	Fall	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2019-195	2019	195	Control	N2	Fall	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2020-276	2020	276	Chern_taiga	N1	Spring	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2020-277	2020	277	Chern_taiga	N1	Spring	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2020-278	2020	278	Chern_taiga	N1	Spring	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2020-279	2020	279	Chern_taiga	N1	Spring	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2020-280	2020	280	Chern_taiga	N1	Spring	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
2020-326	2020	326	Control	N2	Spring	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2020-327	2020	327	Control	N2	Spring	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2020-328	2020	328	Control	N2	Spring	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2020-329	2020	329	Control	N2	Spring	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2020-330	2020	330	Control	N2	Spring	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
2020-356	2020	356	Chern_taiga	T1	Spring	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2020-357	2020	357	Chern_taiga	T1	Spring	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2020-358	2020	358	Chern_taiga	T1	Spring	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2020-359	2020	359	Chern_taiga	T1	Spring	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
2020-360	2020	360	Chern_taiga	T1	Spring	0 (roots Aconitum)	10	T1-top	top	rhizosphere	T1_roots_Aconitum	T1_roots_Aconitum
