#TAXONOMY,"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"da1864cf9f4f7dbae6668f0873f2d73a","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"0c873cf4b4b082af0f88de6b5b3daa27","Bacteria",NA,NA,NA,NA,NA,NA
"5cc348ee4293bdd049369ebb63e3d88d","Bacteria",NA,NA,NA,NA,NA,NA
"272bd8071efaee80fb4e37effc5e9e40","Bacteria",NA,NA,NA,NA,NA,NA
"a7ffb8b60ee9ed137892c64f905d4ec9","Bacteria",NA,NA,NA,NA,NA,NA
"7d1fbe50ec73cb28f43f9e8d25c203fe","Bacteria",NA,NA,NA,NA,NA,NA
"c26fe2c3428f8fbeadb9f777a1a01bd6","Bacteria",NA,NA,NA,NA,NA,NA
"bc0eb493fc7cafa894c59a3efa4d434c","Bacteria",NA,NA,NA,NA,NA,NA
"44815807be3897d708cf576ea0e0f15b","Bacteria",NA,NA,NA,NA,NA,NA
"4cd975adaec3e25e78711548abc76206","Bacteria",NA,NA,NA,NA,NA,NA
"30bad38374d8d81999a19bff2da2dd5e","Bacteria",NA,NA,NA,NA,NA,NA
"fc6564181161599988e4ffcb22808918","Bacteria",NA,NA,NA,NA,NA,NA
"6edd880404b46764692f54580b1ec840","Bacteria",NA,NA,NA,NA,NA,NA
"ed375f0c4d68b454c4e9089a7f9a2e0f","Bacteria",NA,NA,NA,NA,NA,NA
"2e91119c50395b6f991418fdb7095cf7","Bacteria",NA,NA,NA,NA,NA,NA
"7319c61776cce830815ea4cf78ebd9cd","Bacteria",NA,NA,NA,NA,NA,NA
"3db5b5e3d51644c29f4e54b82ae1a046","Bacteria",NA,NA,NA,NA,NA,NA
"28509333309f6593996ec1fb571d8c8a","Bacteria",NA,NA,NA,NA,NA,NA
"b238babf329f4ec0a2b64b2f93d97963","Bacteria",NA,NA,NA,NA,NA,NA
"78854537200d2dfe210530b603e9863c","Bacteria",NA,NA,NA,NA,NA,NA
"48960dcbeb4d4fed24342b0c91d9e9fd","Bacteria",NA,NA,NA,NA,NA,NA
"09d130f1533c3e95c2ead49768e60f0a","Bacteria",NA,NA,NA,NA,NA,NA
"83b6ce617f63090aa5bc4114ca3b4866","Bacteria",NA,NA,NA,NA,NA,NA
"508cef26ec78643831fe046ea2eda93a","Bacteria",NA,NA,NA,NA,NA,NA
"2fb0277645349dcaad62bb31079c7a8d","Bacteria",NA,NA,NA,NA,NA,NA
"ca5de54e1cdb860dfe2b80756b40d56c","Bacteria",NA,NA,NA,NA,NA,NA
"192cadf8bb1218cb2c2ae77fa0d801a1","Bacteria",NA,NA,NA,NA,NA,NA
"c0a58909565964bd393500a9ea9ab3d8","Bacteria",NA,NA,NA,NA,NA,NA
"e19a6893dd535d5db6ad0f8f16b1a659","Bacteria",NA,NA,NA,NA,NA,NA
"976cab8e0cc78ed046c890613aa19d20","Bacteria",NA,NA,NA,NA,NA,NA
"d8972bd30cff3219eb2e8e31e09db761","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"4c7142741de6b9288e29838ba422a681","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"40fc428a89e22f54724887440f43189f","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"05942fdd43f9a380855490dbdd636d71","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"a42faf0248e8c49666d1ed985f326b91","Bacteria",NA,NA,NA,NA,NA,NA
"1c975e57c1445d5b104bc89c8394f2a5","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"690171d8bb93a0f2ec930cecc0152265","Bacteria",NA,NA,NA,NA,NA,NA
"866756cc314ce40f8506dabbee046d36","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"aed4c021c6e6f7ea0392a7bb4d54ba99","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
